station id, station name, valid,povp. dnevna T [°C],max. T [°C],min. T [°C]
_2295,MARIBOR - TABOR,2014-01-01,3,4.1,1.2
_2295,MARIBOR - TABOR,2014-01-02,3.7,8.9,-1.2
_2295,MARIBOR - TABOR,2014-01-03,5.5,12,2.2
_2295,MARIBOR - TABOR,2014-01-04,7.6,10.1,1.6
_2295,MARIBOR - TABOR,2014-01-05,8,11,7.1
_2295,MARIBOR - TABOR,2014-01-06,6.4,12.6,3.5
_2295,MARIBOR - TABOR,2014-01-07,4.6,8.3,1.3
_2295,MARIBOR - TABOR,2014-01-08,1.8,3.5,-0.9
_2295,MARIBOR - TABOR,2014-01-09,1.8,3.9,-1.2
_2295,MARIBOR - TABOR,2014-01-10,3.9,8.2,0.2
_2295,MARIBOR - TABOR,2014-01-11,4.2,6.6,1.1
_2295,MARIBOR - TABOR,2014-01-12,3.9,9.8,0.8
_2295,MARIBOR - TABOR,2014-01-13,3.5,10.4,-2.1
_2295,MARIBOR - TABOR,2014-01-14,6.6,9.5,2.1
_2295,MARIBOR - TABOR,2014-01-15,5.7,7,5.1
_2295,MARIBOR - TABOR,2014-01-16,4.6,9.3,-0.7
_2295,MARIBOR - TABOR,2014-01-17,8.6,10.2,4.1
_2295,MARIBOR - TABOR,2014-01-18,10.4,13.8,6.5
_2295,MARIBOR - TABOR,2014-01-19,8.7,11.1,6.6
_2295,MARIBOR - TABOR,2014-01-20,8.1,11,7.3
_2295,MARIBOR - TABOR,2014-01-21,6.6,11.2,4.2
_2295,MARIBOR - TABOR,2014-01-22,4.6,6.5,3.2
_2295,MARIBOR - TABOR,2014-01-23,2.5,4.3,1.8
_2295,MARIBOR - TABOR,2014-01-24,0,1.9,-0.4
_2295,MARIBOR - TABOR,2014-01-25,-2.1,3.2,-4.3
_2295,MARIBOR - TABOR,2014-01-26,-6.3,-3.7,-8.4
_2295,MARIBOR - TABOR,2014-01-27,-4.3,-3,-7.4
_2295,MARIBOR - TABOR,2014-01-28,-2.7,-1.5,-4.7
_2295,MARIBOR - TABOR,2014-01-29,-2.9,-1.4,-3.4
_2295,MARIBOR - TABOR,2014-01-30,-2.7,-1.9,-6.3
_2295,MARIBOR - TABOR,2014-01-31,-1.6,-1,-2.1
_2295,MARIBOR - TABOR,2014-02-01,-3.5,-2.1,-4.3
_2295,MARIBOR - TABOR,2014-02-02,-0.9,-0.3,-3.1
_2295,MARIBOR - TABOR,2014-02-03,-1.3,-0.5,-1.9
_2295,MARIBOR - TABOR,2014-02-04,-1.9,-1.3,-2.8
_2295,MARIBOR - TABOR,2014-02-05,0.1,1.2,-1.7
_2295,MARIBOR - TABOR,2014-02-06,0.6,4.2,-0.5
_2295,MARIBOR - TABOR,2014-02-07,4.4,12.3,-1.9
_2295,MARIBOR - TABOR,2014-02-08,5.4,6.4,2.7
_2295,MARIBOR - TABOR,2014-02-09,4.2,10.6,2.1
_2295,MARIBOR - TABOR,2014-02-10,4.8,9.7,-1.7
_2295,MARIBOR - TABOR,2014-02-11,4.8,6.4,4.2
_2295,MARIBOR - TABOR,2014-02-12,1.3,4.9,0
_2295,MARIBOR - TABOR,2014-02-13,5.8,11.1,-2.8
_2295,MARIBOR - TABOR,2014-02-14,4.6,11,2.6
_2295,MARIBOR - TABOR,2014-02-15,7.1,14.7,0.2
_2295,MARIBOR - TABOR,2014-02-16,6.9,13.7,2.1
_2295,MARIBOR - TABOR,2014-02-17,2.7,6.5,1
_2295,MARIBOR - TABOR,2014-02-18,3.1,6.8,-1
_2295,MARIBOR - TABOR,2014-02-19,7,12.5,2.5
_2295,MARIBOR - TABOR,2014-02-20,5.6,10,3.5
_2295,MARIBOR - TABOR,2014-02-21,7.4,10.8,4.7
_2295,MARIBOR - TABOR,2014-02-22,4.8,7.4,4.2
_2295,MARIBOR - TABOR,2014-02-23,5.7,8.3,3.4
_2295,MARIBOR - TABOR,2014-02-24,6.5,12.3,4.2
_2295,MARIBOR - TABOR,2014-02-25,4.8,10.6,-1.2
_2295,MARIBOR - TABOR,2014-02-26,6.8,14,-0.6
_2295,MARIBOR - TABOR,2014-02-27,7.4,15.1,1.6
_2295,MARIBOR - TABOR,2014-02-28,6.2,12.3,1.4
_2295,MARIBOR - TABOR,2014-03-01,6.9,11.7,-0.5
_2295,MARIBOR - TABOR,2014-03-02,6,8.4,5.4
_2295,MARIBOR - TABOR,2014-03-03,5.3,7.7,3.7
_2295,MARIBOR - TABOR,2014-03-04,5.9,6.3,4.6
_2295,MARIBOR - TABOR,2014-03-05,9.3,12.4,5.9
_2295,MARIBOR - TABOR,2014-03-06,8.4,12,6.8
_2295,MARIBOR - TABOR,2014-03-07,7,11.4,3.7
_2295,MARIBOR - TABOR,2014-03-08,6.8,12.9,3.2
_2295,MARIBOR - TABOR,2014-03-09,7,13.8,1.9
_2295,MARIBOR - TABOR,2014-03-10,7,11.4,4.4
_2295,MARIBOR - TABOR,2014-03-11,7.3,14.5,2.3
_2295,MARIBOR - TABOR,2014-03-12,8.6,17,1.9
_2295,MARIBOR - TABOR,2014-03-13,8.3,16.4,1.9
_2295,MARIBOR - TABOR,2014-03-14,10.5,18.9,3.7
_2295,MARIBOR - TABOR,2014-03-15,12,18.7,3.8
_2295,MARIBOR - TABOR,2014-03-16,13.6,21.8,7.9
_2295,MARIBOR - TABOR,2014-03-17,14.6,24.7,5.1
_2295,MARIBOR - TABOR,2014-03-18,12.7,21.2,3.7
_2295,MARIBOR - TABOR,2014-03-19,12,19.2,8
_2295,MARIBOR - TABOR,2014-03-20,12.8,20.7,3.4
_2295,MARIBOR - TABOR,2014-03-21,13.4,21.5,4.3
_2295,MARIBOR - TABOR,2014-03-22,13.9,19.5,9.2
_2295,MARIBOR - TABOR,2014-03-23,10.5,15,8.5
_2295,MARIBOR - TABOR,2014-03-24,6,11.1,4.4
_2295,MARIBOR - TABOR,2014-03-25,4.7,9.7,1.3
_2295,MARIBOR - TABOR,2014-03-26,7.6,10.9,3.2
_2295,MARIBOR - TABOR,2014-03-27,8.1,9.7,4.6
_2295,MARIBOR - TABOR,2014-03-28,10.8,17,7.7
_2295,MARIBOR - TABOR,2014-03-29,11.3,19.5,4
_2295,MARIBOR - TABOR,2014-03-30,12.9,22.5,4.1
_2295,MARIBOR - TABOR,2014-03-31,14,21.4,5.9
_2295,MARIBOR - TABOR,2014-04-01,13.6,20.2,6.8
_2295,MARIBOR - TABOR,2014-04-02,13.7,21.2,7.5
_2295,MARIBOR - TABOR,2014-04-03,14.2,20.2,6.2
_2295,MARIBOR - TABOR,2014-04-04,15.8,21.7,9.8
_2295,MARIBOR - TABOR,2014-04-05,14.2,18.4,11.8
_2295,MARIBOR - TABOR,2014-04-06,13.3,19.9,9.1
_2295,MARIBOR - TABOR,2014-04-07,13.7,21.6,8
_2295,MARIBOR - TABOR,2014-04-08,16.6,24.5,6.7
_2295,MARIBOR - TABOR,2014-04-09,9.5,17.1,7.5
_2295,MARIBOR - TABOR,2014-04-10,8.3,14.1,2.3
_2295,MARIBOR - TABOR,2014-04-11,9,15.4,3.7
_2295,MARIBOR - TABOR,2014-04-12,10.1,16,5.6
_2295,MARIBOR - TABOR,2014-04-13,11.6,18,5.9
_2295,MARIBOR - TABOR,2014-04-14,11.8,21.6,3.8
_2295,MARIBOR - TABOR,2014-04-15,8.6,12.3,5.7
_2295,MARIBOR - TABOR,2014-04-16,7.8,11.4,3.5
_2295,MARIBOR - TABOR,2014-04-17,9,12.4,4.9
_2295,MARIBOR - TABOR,2014-04-18,13.2,18.1,3.9
_2295,MARIBOR - TABOR,2014-04-19,12.9,19,9
_2295,MARIBOR - TABOR,2014-04-20,10,12.1,9.1
_2295,MARIBOR - TABOR,2014-04-21,11.6,16.8,9
_2295,MARIBOR - TABOR,2014-04-22,13.5,19,8.7
_2295,MARIBOR - TABOR,2014-04-23,15,19.6,11.2
_2295,MARIBOR - TABOR,2014-04-24,15.6,20.9,13.3
_2295,MARIBOR - TABOR,2014-04-25,13.6,15.6,12.2
_2295,MARIBOR - TABOR,2014-04-26,13.9,16.4,12.2
_2295,MARIBOR - TABOR,2014-04-27,14.6,18.7,11.8
_2295,MARIBOR - TABOR,2014-04-28,14.3,18.4,12.2
_2295,MARIBOR - TABOR,2014-04-29,14,19.3,11
_2295,MARIBOR - TABOR,2014-04-30,14.8,22.3,11.1
_2295,MARIBOR - TABOR,2014-05-01,14.2,21.2,9.2
_2295,MARIBOR - TABOR,2014-05-02,13.9,21.4,8.6
_2295,MARIBOR - TABOR,2014-05-03,11.1,14.6,9.1
_2295,MARIBOR - TABOR,2014-05-04,11.3,16.6,8.1
_2295,MARIBOR - TABOR,2014-05-05,11.2,16.8,3.4
_2295,MARIBOR - TABOR,2014-05-06,15.5,21.8,4.7
_2295,MARIBOR - TABOR,2014-05-07,14.5,22.2,8.5
_2295,MARIBOR - TABOR,2014-05-08,14.6,20.8,9.9
_2295,MARIBOR - TABOR,2014-05-09,16.4,23.2,7.2
_2295,MARIBOR - TABOR,2014-05-10,18.3,23.3,12.6
_2295,MARIBOR - TABOR,2014-05-11,12.2,21.6,6.7
_2295,MARIBOR - TABOR,2014-05-12,11.9,17.4,5
_2295,MARIBOR - TABOR,2014-05-13,8.9,11,5.9
_2295,MARIBOR - TABOR,2014-05-14,12.1,16.7,7.5
_2295,MARIBOR - TABOR,2014-05-15,11.6,13.9,9.8
_2295,MARIBOR - TABOR,2014-05-16,11.2,13.2,8.6
_2295,MARIBOR - TABOR,2014-05-17,12.1,15.8,8.2
_2295,MARIBOR - TABOR,2014-05-18,13.2,20.1,9.6
_2295,MARIBOR - TABOR,2014-05-19,16.7,23.4,7.5
_2295,MARIBOR - TABOR,2014-05-20,19,24.4,9.5
_2295,MARIBOR - TABOR,2014-05-21,19.1,26.1,9.8
_2295,MARIBOR - TABOR,2014-05-22,21.2,28.6,11
_2295,MARIBOR - TABOR,2014-05-23,21.5,28.5,13.7
_2295,MARIBOR - TABOR,2014-05-24,20.7,27.4,14.1
_2295,MARIBOR - TABOR,2014-05-25,20.3,24.7,15.5
_2295,MARIBOR - TABOR,2014-05-26,16.5,24.1,14.5
_2295,MARIBOR - TABOR,2014-05-27,18,24.8,12.2
_2295,MARIBOR - TABOR,2014-05-28,14.2,17.2,13
_2295,MARIBOR - TABOR,2014-05-29,16.8,21.7,11.2
_2295,MARIBOR - TABOR,2014-05-30,13.9,17.6,11.2
_2295,MARIBOR - TABOR,2014-05-31,13.6,18.5,9.2
_2295,MARIBOR - TABOR,2014-06-01,14.8,19.3,11
_2295,MARIBOR - TABOR,2014-06-02,16.5,21.9,11.2
_2295,MARIBOR - TABOR,2014-06-03,15.3,22.9,10.6
_2295,MARIBOR - TABOR,2014-06-04,18.1,23.7,9.1
_2295,MARIBOR - TABOR,2014-06-05,17.1,21.1,12.8
_2295,MARIBOR - TABOR,2014-06-06,20.2,26.6,11.2
_2295,MARIBOR - TABOR,2014-06-07,22.3,29.2,13.6
_2295,MARIBOR - TABOR,2014-06-08,24,30.3,16.2
_2295,MARIBOR - TABOR,2014-06-09,24.3,31.1,16.9
_2295,MARIBOR - TABOR,2014-06-10,24.8,32.2,17.3
_2295,MARIBOR - TABOR,2014-06-11,26.7,34.2,17.9
_2295,MARIBOR - TABOR,2014-06-12,21.8,31.2,16
_2295,MARIBOR - TABOR,2014-06-13,19.9,26.7,15.9
_2295,MARIBOR - TABOR,2014-06-14,18.4,23.8,15.8
_2295,MARIBOR - TABOR,2014-06-15,18.4,22.4,13.3
_2295,MARIBOR - TABOR,2014-06-16,17.7,21.7,12.5
_2295,MARIBOR - TABOR,2014-06-17,17,18.6,14.7
_2295,MARIBOR - TABOR,2014-06-18,19.4,24.7,14.7
_2295,MARIBOR - TABOR,2014-06-19,19.7,27,13.9
_2295,MARIBOR - TABOR,2014-06-20,17.1,22.9,15.1
_2295,MARIBOR - TABOR,2014-06-21,17.2,22.7,10.2
_2295,MARIBOR - TABOR,2014-06-22,21.6,28,12.2
_2295,MARIBOR - TABOR,2014-06-23,21.7,27.2,16.3
_2295,MARIBOR - TABOR,2014-06-24,15.2,20.5,13.9
_2295,MARIBOR - TABOR,2014-06-25,15,18,13.2
_2295,MARIBOR - TABOR,2014-06-26,18.8,23.4,11.4
_2295,MARIBOR - TABOR,2014-06-27,19.7,24.2,14.3
_2295,MARIBOR - TABOR,2014-06-28,22.1,27.8,13
_2295,MARIBOR - TABOR,2014-06-29,23,29.1,15
_2295,MARIBOR - TABOR,2014-06-30,15.6,22.8,12.8
_2295,MARIBOR - TABOR,2014-07-01,17.9,23.4,10.3
_2295,MARIBOR - TABOR,2014-07-02,21.6,27.1,12.3
_2295,MARIBOR - TABOR,2014-07-03,20,25.1,13.2
_2295,MARIBOR - TABOR,2014-07-04,21.4,26.6,11.9
_2295,MARIBOR - TABOR,2014-07-05,21,29.2,14.8
_2295,MARIBOR - TABOR,2014-07-06,23.5,29.5,15.6
_2295,MARIBOR - TABOR,2014-07-07,25.5,31.6,16.6
_2295,MARIBOR - TABOR,2014-07-08,21.8,26.8,18.9
_2295,MARIBOR - TABOR,2014-07-09,16.1,21.6,14.4
_2295,MARIBOR - TABOR,2014-07-10,13.8,14.9,13.1
_2295,MARIBOR - TABOR,2014-07-11,18.6,23.2,13.4
_2295,MARIBOR - TABOR,2014-07-12,19.8,25.8,14.6
_2295,MARIBOR - TABOR,2014-07-13,19.1,25.3,15.7
_2295,MARIBOR - TABOR,2014-07-14,18.1,24.8,16.1
_2295,MARIBOR - TABOR,2014-07-15,21.8,27.4,17.5
_2295,MARIBOR - TABOR,2014-07-16,23.4,29,17.7
_2295,MARIBOR - TABOR,2014-07-17,23.8,29.6,19
_2295,MARIBOR - TABOR,2014-07-18,24.2,29.9,18.2
_2295,MARIBOR - TABOR,2014-07-19,24.5,30.1,17.7
_2295,MARIBOR - TABOR,2014-07-20,25.7,32.1,17.4
_2295,MARIBOR - TABOR,2014-07-21,21.5,27.5,19.4
_2295,MARIBOR - TABOR,2014-07-22,19.8,22.4,14.8
_2295,MARIBOR - TABOR,2014-07-23,22.5,27.9,18
_2295,MARIBOR - TABOR,2014-07-24,21.7,27.5,14.6
_2295,MARIBOR - TABOR,2014-07-25,19.6,26.5,18.5
_2295,MARIBOR - TABOR,2014-07-26,20.4,27.3,16.2
_2295,MARIBOR - TABOR,2014-07-27,20.1,25.3,16.2
_2295,MARIBOR - TABOR,2014-07-28,20.4,23.4,17.9
_2295,MARIBOR - TABOR,2014-07-29,21.1,28,17.4
_2295,MARIBOR - TABOR,2014-07-30,19.3,24.3,16.8
_2295,MARIBOR - TABOR,2014-07-31,19.9,24.8,17.2
_2295,MARIBOR - TABOR,2014-08-01,22.1,26.9,18.4
_2295,MARIBOR - TABOR,2014-08-02,23,28.9,17.1
_2295,MARIBOR - TABOR,2014-08-03,22.8,30.3,16.6
_2295,MARIBOR - TABOR,2014-08-04,21.8,26.9,17.3
_2295,MARIBOR - TABOR,2014-08-05,18.8,23.4,16.9
_2295,MARIBOR - TABOR,2014-08-06,21.1,26,16.8
_2295,MARIBOR - TABOR,2014-08-07,20.8,26.1,17.9
_2295,MARIBOR - TABOR,2014-08-08,22.8,28.3,16.5
_2295,MARIBOR - TABOR,2014-08-09,22.8,30.8,15.6
_2295,MARIBOR - TABOR,2014-08-10,23.6,30.2,17.4
_2295,MARIBOR - TABOR,2014-08-11,23.8,31,17.5
_2295,MARIBOR - TABOR,2014-08-12,17.7,21.7,16.4
_2295,MARIBOR - TABOR,2014-08-13,20,25.4,14.9
_2295,MARIBOR - TABOR,2014-08-14,15.4,19.7,13.9
_2295,MARIBOR - TABOR,2014-08-15,15.1,19.7,12.5
_2295,MARIBOR - TABOR,2014-08-16,16.6,21.8,10.9
_2295,MARIBOR - TABOR,2014-08-17,17.3,23.5,10.7
_2295,MARIBOR - TABOR,2014-08-18,19.7,25.8,10.6
_2295,MARIBOR - TABOR,2014-08-19,18.9,23.6,13.1
_2295,MARIBOR - TABOR,2014-08-20,16.9,19.5,15.3
_2295,MARIBOR - TABOR,2014-08-21,17.4,22,13.1
_2295,MARIBOR - TABOR,2014-08-22,16.7,20.6,11.9
_2295,MARIBOR - TABOR,2014-08-23,16.7,20.2,13.5
_2295,MARIBOR - TABOR,2014-08-24,13.4,23.2,12.5
_2295,MARIBOR - TABOR,2014-08-25,14.6,20.5,10.3
_2295,MARIBOR - TABOR,2014-08-26,16.8,20.7,10.5
_2295,MARIBOR - TABOR,2014-08-27,17.2,24.8,9.5
_2295,MARIBOR - TABOR,2014-08-28,15.8,22.7,9.6
_2295,MARIBOR - TABOR,2014-08-29,17.6,24.4,10.3
_2295,MARIBOR - TABOR,2014-08-30,19.6,26.5,12.7
_2295,MARIBOR - TABOR,2014-08-31,18.6,23.9,16.2
_2295,MARIBOR - TABOR,2014-09-01,15,17.1,11.8
_2295,MARIBOR - TABOR,2014-09-02,13.5,16.4,13.2
_2295,MARIBOR - TABOR,2014-09-03,17.3,20.4,13.2
_2295,MARIBOR - TABOR,2014-09-04,18.2,19.4,16.1
_2295,MARIBOR - TABOR,2014-09-05,19.9,24.7,16.8
_2295,MARIBOR - TABOR,2014-09-06,16.2,19,16
_2295,MARIBOR - TABOR,2014-09-07,17,20.6,14
_2295,MARIBOR - TABOR,2014-09-08,18.4,25.4,12.7
_2295,MARIBOR - TABOR,2014-09-09,18.5,27.1,13.5
_2295,MARIBOR - TABOR,2014-09-10,15.9,18,15.1
_2295,MARIBOR - TABOR,2014-09-11,13.8,16.7,12.7
_2295,MARIBOR - TABOR,2014-09-12,13.9,17.5,12
_2295,MARIBOR - TABOR,2014-09-13,13.8,16.4,12.2
_2295,MARIBOR - TABOR,2014-09-14,15.8,20,12.8
_2295,MARIBOR - TABOR,2014-09-15,15.6,19.1,14
_2295,MARIBOR - TABOR,2014-09-16,15.8,19.8,14.9
_2295,MARIBOR - TABOR,2014-09-17,14.8,19.9,9.9
_2295,MARIBOR - TABOR,2014-09-18,15.2,21.2,10.8
_2295,MARIBOR - TABOR,2014-09-19,17.5,26.5,10.3
_2295,MARIBOR - TABOR,2014-09-20,19.4,25.8,13.2
_2295,MARIBOR - TABOR,2014-09-21,18.7,26.4,15.2
_2295,MARIBOR - TABOR,2014-09-22,15.2,19.9,13
_2295,MARIBOR - TABOR,2014-09-23,11.1,18.6,7.3
_2295,MARIBOR - TABOR,2014-09-24,12.6,19.3,5.8
_2295,MARIBOR - TABOR,2014-09-25,10.7,15.2,8.7
_2295,MARIBOR - TABOR,2014-09-26,13.3,17.4,9.5
_2295,MARIBOR - TABOR,2014-09-27,15.5,21,11.6
_2295,MARIBOR - TABOR,2014-09-28,14.9,22.6,9.8
_2295,MARIBOR - TABOR,2014-09-29,15.2,23.2,8.7
_2295,MARIBOR - TABOR,2014-09-30,15.6,23.1,9.5
_2295,MARIBOR - TABOR,2014-10-01,15.4,18.7,12.6
_2295,MARIBOR - TABOR,2014-10-02,14.5,19.2,13
_2295,MARIBOR - TABOR,2014-10-03,14.1,19.9,9.5
_2295,MARIBOR - TABOR,2014-10-04,12.7,15.7,9.8
_2295,MARIBOR - TABOR,2014-10-05,13.1,17.9,11.2
_2295,MARIBOR - TABOR,2014-10-06,12.1,18,7.4
_2295,MARIBOR - TABOR,2014-10-07,13.1,20.8,7.9
_2295,MARIBOR - TABOR,2014-10-08,16.3,22.5,9.8
_2295,MARIBOR - TABOR,2014-10-09,18.9,25.5,11.3
_2295,MARIBOR - TABOR,2014-10-10,18.9,27.8,14.5
_2295,MARIBOR - TABOR,2014-10-11,17.8,27.7,11.6
_2295,MARIBOR - TABOR,2014-10-12,17.1,25.2,13
_2295,MARIBOR - TABOR,2014-10-13,19.1,27.4,11.8
_2295,MARIBOR - TABOR,2014-10-14,17.4,25.6,15
_2295,MARIBOR - TABOR,2014-10-15,16.2,20.7,13.1
_2295,MARIBOR - TABOR,2014-10-16,16.9,23.7,14.3
_2295,MARIBOR - TABOR,2014-10-17,15.9,25,12.5
_2295,MARIBOR - TABOR,2014-10-18,14.6,22.6,9.9
_2295,MARIBOR - TABOR,2014-10-19,14.1,22.6,7.6
_2295,MARIBOR - TABOR,2014-10-20,15.6,24.4,8.9
_2295,MARIBOR - TABOR,2014-10-21,16.3,21.5,13.1
_2295,MARIBOR - TABOR,2014-10-22,7.3,15.5,4.5
_2295,MARIBOR - TABOR,2014-10-23,8.6,9.7,6.2
_2295,MARIBOR - TABOR,2014-10-24,9.2,12,7.6
_2295,MARIBOR - TABOR,2014-10-25,6.7,9.6,5.4
_2295,MARIBOR - TABOR,2014-10-26,6.3,8.8,3.5
_2295,MARIBOR - TABOR,2014-10-27,5,9.1,3.3
_2295,MARIBOR - TABOR,2014-10-28,4.2,10.8,1.1
_2295,MARIBOR - TABOR,2014-10-29,4.8,10.2,-1
_2295,MARIBOR - TABOR,2014-10-30,6.9,12.6,4.6
_2295,MARIBOR - TABOR,2014-10-31,6.8,13.5,2.1
_2295,MARIBOR - TABOR,2014-11-01,8.2,15.8,2.9
_2295,MARIBOR - TABOR,2014-11-02,8,15.1,3
_2295,MARIBOR - TABOR,2014-11-03,11.1,14.8,4.6
_2295,MARIBOR - TABOR,2014-11-04,12.4,19.3,10.1
_2295,MARIBOR - TABOR,2014-11-05,16.3,21.6,9.4
_2295,MARIBOR - TABOR,2014-11-06,13.6,17.6,12
_2295,MARIBOR - TABOR,2014-11-07,13.7,15.2,11.8
_2295,MARIBOR - TABOR,2014-11-08,11,14.3,9.4
_2295,MARIBOR - TABOR,2014-11-09,10.1,12.4,8.2
_2295,MARIBOR - TABOR,2014-11-10,14,19.8,8.9
_2295,MARIBOR - TABOR,2014-11-11,12.3,18.2,9.7
_2295,MARIBOR - TABOR,2014-11-12,12.3,15.8,9.5
_2295,MARIBOR - TABOR,2014-11-13,10.1,12,9.1
_2295,MARIBOR - TABOR,2014-11-14,11.4,12.7,10.1
_2295,MARIBOR - TABOR,2014-11-15,11.1,14.5,9.7
_2295,MARIBOR - TABOR,2014-11-16,10.6,15.8,8.5
_2295,MARIBOR - TABOR,2014-11-17,9.6,12.4,7
_2295,MARIBOR - TABOR,2014-11-18,9,14.6,6.7
_2295,MARIBOR - TABOR,2014-11-19,9.3,13.1,5.9
_2295,MARIBOR - TABOR,2014-11-20,6.9,12.8,2.6
_2295,MARIBOR - TABOR,2014-11-21,4.9,8.3,3.3
_2295,MARIBOR - TABOR,2014-11-22,5.3,10.9,2.5
_2295,MARIBOR - TABOR,2014-11-23,3,4.4,0
_2295,MARIBOR - TABOR,2014-11-24,3.5,4,3
_2295,MARIBOR - TABOR,2014-11-25,4.2,5.2,3.5
_2295,MARIBOR - TABOR,2014-11-26,3.3,4.4,2.8
_2295,MARIBOR - TABOR,2014-11-27,2.6,4,2
_2295,MARIBOR - TABOR,2014-11-28,2.7,3.2,1.5
_2295,MARIBOR - TABOR,2014-11-29,3.5,3.9,2.9
_2295,MARIBOR - TABOR,2014-11-30,3.5,3.8,3.1
_2295,MARIBOR - TABOR,2014-12-01,2.8,3.5,2.5
_2295,MARIBOR - TABOR,2014-12-02,2,2.8,1.5
_2295,MARIBOR - TABOR,2014-12-03,2.6,2.9,1.7
_2295,MARIBOR - TABOR,2014-12-04,3.7,4.3,2.8
_2295,MARIBOR - TABOR,2014-12-05,4.6,5.5,3.5
_2295,MARIBOR - TABOR,2014-12-06,4.8,5.5,4.3
_2295,MARIBOR - TABOR,2014-12-07,5.4,6.1,3.9
_2295,MARIBOR - TABOR,2014-12-08,5.1,7.2,4.4
_2295,MARIBOR - TABOR,2014-12-09,2,4.6,0.4
_2295,MARIBOR - TABOR,2014-12-10,0.6,5.1,-2.3
_2295,MARIBOR - TABOR,2014-12-11,1.7,6.5,-1.6
_2295,MARIBOR - TABOR,2014-12-12,2.4,10.4,-2.9
_2295,MARIBOR - TABOR,2014-12-13,6.9,13.2,-0.3
_2295,MARIBOR - TABOR,2014-12-14,5.8,9.6,2.9
_2295,MARIBOR - TABOR,2014-12-15,6.7,12.2,3.1
_2295,MARIBOR - TABOR,2014-12-16,4.3,6.4,1.4
_2295,MARIBOR - TABOR,2014-12-17,6.2,9.3,4.8
_2295,MARIBOR - TABOR,2014-12-18,6.4,12,1.2
_2295,MARIBOR - TABOR,2014-12-19,7.9,15,4
_2295,MARIBOR - TABOR,2014-12-20,7.2,13.2,3.7
_2295,MARIBOR - TABOR,2014-12-21,3.7,11.1,1.2
_2295,MARIBOR - TABOR,2014-12-22,6,10.8,-1.3
_2295,MARIBOR - TABOR,2014-12-23,5.6,15.6,2
_2295,MARIBOR - TABOR,2014-12-24,3.8,10.4,-2
_2295,MARIBOR - TABOR,2014-12-25,4.6,9.8,-1
_2295,MARIBOR - TABOR,2014-12-26,1.6,8.1,-1.2
_2295,MARIBOR - TABOR,2014-12-27,-1.7,0.8,-6.4
_2295,MARIBOR - TABOR,2014-12-28,-2.4,-0.7,-3.4
_2295,MARIBOR - TABOR,2014-12-29,-4.6,-0.9,-7.1
_2295,MARIBOR - TABOR,2014-12-30,-6,0.3,-8.4
_2295,MARIBOR - TABOR,2014-12-31,-7.3,-2.5,-9.2
_2295,MARIBOR - TABOR,2015-01-01,-2.7,-0.9,-9.7
_2295,MARIBOR - TABOR,2015-01-02,1.3,5.8,-4.4
_2295,MARIBOR - TABOR,2015-01-03,1.8,7.3,-2.8
_2295,MARIBOR - TABOR,2015-01-04,1.5,8.8,-1.7
_2295,MARIBOR - TABOR,2015-01-05,2.7,6.9,-1.7
_2295,MARIBOR - TABOR,2015-01-06,0.8,4.2,-0.7
_2295,MARIBOR - TABOR,2015-01-07,-2.5,0.3,-3.9
_2295,MARIBOR - TABOR,2015-01-08,-2.8,0.2,-6.3
_2295,MARIBOR - TABOR,2015-01-09,3.1,6.7,-3
_2295,MARIBOR - TABOR,2015-01-10,6.3,14.5,2.8
_2295,MARIBOR - TABOR,2015-01-11,2.2,5.8,0
_2295,MARIBOR - TABOR,2015-01-12,2.5,8.6,-2.6
_2295,MARIBOR - TABOR,2015-01-13,4.5,14.7,-2.2
_2295,MARIBOR - TABOR,2015-01-14,8.2,13.6,0.3
_2295,MARIBOR - TABOR,2015-01-15,3.1,7.6,-0.9
_2295,MARIBOR - TABOR,2015-01-16,9.7,15.6,0.5
_2295,MARIBOR - TABOR,2015-01-17,9.9,14.2,8.6
_2295,MARIBOR - TABOR,2015-01-18,4.1,8.6,3.3
_2295,MARIBOR - TABOR,2015-01-19,3.2,6.5,1.3
_2295,MARIBOR - TABOR,2015-01-20,2.1,3.6,-1
_2295,MARIBOR - TABOR,2015-01-21,3.9,4.7,2.5
_2295,MARIBOR - TABOR,2015-01-22,5.1,6.2,3.7
_2295,MARIBOR - TABOR,2015-01-23,4.3,5.4,3.3
_2295,MARIBOR - TABOR,2015-01-24,3.1,5.2,2.1
_2295,MARIBOR - TABOR,2015-01-25,3.8,6.2,2.2
_2295,MARIBOR - TABOR,2015-01-26,-0.1,4.5,-2
_2295,MARIBOR - TABOR,2015-01-27,-0.5,1.4,-4.6
_2295,MARIBOR - TABOR,2015-01-28,1.7,6.3,-3.4
_2295,MARIBOR - TABOR,2015-01-29,2.6,5.1,-1.6
_2295,MARIBOR - TABOR,2015-01-30,1.2,3.1,0.2
_2295,MARIBOR - TABOR,2015-01-31,0.1,6.7,-3.8
_2295,MARIBOR - TABOR,2015-02-01,0.5,2.3,-2.3
_2295,MARIBOR - TABOR,2015-02-02,0.7,5.7,-2.5
_2295,MARIBOR - TABOR,2015-02-03,-0.3,3.1,-4
_2295,MARIBOR - TABOR,2015-02-04,0.5,1.6,-0.9
_2295,MARIBOR - TABOR,2015-02-05,-0.5,0.7,-1.6
_2295,MARIBOR - TABOR,2015-02-06,-0.3,1.4,-1.3
